"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","192","","0","0","","0"
"0","Validation","0","Username Validation","2","0","","0"
"0","Authentication","0","User Login","2","0","Invalid Credentials","0"
"0","Security","1","CSRF Protection","2","0","","0"
"0","Security","0","Suspicious Activity Detection","2","0","","0"
"0","Accessibility","3","Semantic HTML","1","0","Proper HTML5 Elements","0"
"0","Validation","0","Required Fields","2","0","","0"
"0","Authentication","3","Navigation","1","0","Auth Pages Navigation","0"
"0","Validation","1","Content Length Validation","2","0","","0"
"0","Todo Management","0","Todo CRUD","2","0","Validation - Empty Title","0"
"0","Security","0","SQL Injection Prevention","2","0","Login SQL Injection","0"
"0","Todo Management","0","Todo CRUD","2","0","Create Todo","0"
"0","Authentication","3","User Registration","1","0","Successful Registration","0"
"0","Authentication","0","Password Reset","2","0","Password Mismatch Validation","0"
"0","Validation","0","Password Strength","2","0","","0"
"0","Validation","0","Real-time Validation","2","0","","0"
"0","Accessibility","0","ARIA Attributes","2","0","Proper ARIA Labels","0"
"0","Security","0","XSS Prevention","2","0","Username Field XSS","0"
"0","Security","3","XSS Prevention","1","0","Todo Title XSS","0"
"0","Accessibility","3","Keyboard Navigation","1","0","Escape Key Functionality","0"
"0","Todo Management","0","Todo Management","2","0","Filter Todos","0"
"0","Security","0","URL Sanitization","2","0","","0"
"0","Authentication","6","Password Reset","0","0","Reset Password","0"
"0","Todo Management","0","Todo CRUD","2","0","Toggle Completion","0"
"0","Accessibility","0","Focus Management","2","0","Visible Focus Indicators","0"
"0","Authentication","0","Password Reset","2","0","Request Password Reset","0"
"0","Validation","0","Password Confirmation","2","0","","0"
"0","Accessibility","0","Skip Links","2","0","Skip to Main Content","0"
"0","Validation","0","Email Validation","2","0","","0"
"0","Accessibility & Security","0","Autocomplete","2","0","Proper Autocomplete Attributes","0"
"0","Authentication","0","User Registration","2","0","Password Validation","0"
"0","Validation","0","Age Validation","2","0","","0"
"0","Todo Management","0","Todo CRUD","2","0","Edit Todo","0"
